income,loan_amount,loan_term,loan_purpose,loan_type,lien_status,preapproval,debt_to_income_ratio,combined_loan_to_value_ratio,property_value,occupancy_type,construction_method,total_units,submission_of_application,interest_only_payment,balloon_payment,applicant_age,derived_race,derived_ethnicity,derived_sex,LoanApproved
267.0,235000.0,360.0,1,1,1,2,<20%,80.0,295000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Female,1
76.0,55000.0,240.0,32,1,2,2,41,65.0,415000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,1
159.0,315000.0,360.0,1,1,1,2,30%-<36%,95.0,335000.0,1,1,1,2,2,2,35-44,White,Hispanic or Latino,Male,0
56.0,15000.0,240.0,31,1,1,2,<20%,,15000.0,1,2,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,0
71.0,225000.0,360.0,1,2,1,2,50%-60%,96.5,235000.0,1,2,1,1,2,2,65-74,White,Not Hispanic or Latino,Female,1
92.0,75000.0,360.0,1,1,1,2,41,80.0,95000.0,3,1,1,1,2,2,<25,White,Not Hispanic or Latino,Male,1
71.0,205000.0,360.0,31,1,1,2,37,62.87,325000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Female,1
114.0,125000.0,360.0,4,2,1,2,39,52.97,235000.0,1,2,1,1,2,2,55-64,Race Not Available,Ethnicity Not Available,Joint,1
,245000.0,360.0,32,2,1,2,,,305000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Male,0
108.0,505000.0,360.0,1,1,1,2,39,90.0,565000.0,1,1,1,1,2,2,35-44,Race Not Available,Hispanic or Latino,Female,1
233.0,385000.0,360.0,1,1,1,2,49,75.0,515000.0,2,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Joint,1
188.0,465000.0,360.0,1,1,1,2,30%-<36%,75.0,615000.0,1,1,1,1,2,2,65-74,White,Not Hispanic or Latino,Joint,1
137.0,265000.0,360.0,1,1,1,2,50%-60%,80.61,335000.0,1,1,1,1,2,2,45-54,White,Ethnicity Not Available,Female,0
173.0,585000.0,360.0,1,1,1,2,39,95.0,615000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,1
97.0,15000.0,360.0,1,1,2,2,42,100.072,345000.0,1,1,1,1,2,2,<25,Race Not Available,Hispanic or Latino,Joint,1
122.0,365000.0,360.0,1,3,1,2,39,,525000.0,1,1,1,1,2,2,25-34,Race Not Available,Ethnicity Not Available,Sex Not Available,1
551.0,695000.0,360.0,32,1,1,2,<20%,70.0,995000.0,1,1,1,2,2,2,45-54,White,Not Hispanic or Latino,Male,1
,95000.0,360.0,32,3,1,2,,,175000.0,1,1,1,1,2,2,>74,White,Not Hispanic or Latino,Male,0
93.0,365000.0,360.0,1,1,1,2,36,80.0,455000.0,1,1,1,2,2,2,<25,White,Not Hispanic or Latino,Joint,1
28.0,65000.0,300.0,1,1,1,2,48,,65000.0,1,2,1,1,2,2,55-64,Black or African American,Not Hispanic or Latino,Male,1
169.0,75000.0,360.0,32,1,1,2,46,57.851,125000.0,3,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Joint,1
74.0,155000.0,360.0,32,2,1,2,48,80.0,195000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Female,1
67.0,55000.0,360.0,4,1,2,2,>60%,78.546,385000.0,1,1,1,1,2,2,65-74,American Indian or Alaska Native,Hispanic or Latino,Sex Not Available,0
211.0,415000.0,360.0,1,1,1,2,30%-<36%,97.0,435000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,0
79.0,335000.0,360.0,1,1,1,2,41,49.702,675000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,1
121.0,485000.0,360.0,1,1,1,2,47,85.0,575000.0,1,1,1,1,2,2,35-44,Black or African American,Not Hispanic or Latino,Joint,1
52.0,145000.0,360.0,32,2,1,2,30%-<36%,32.093,435000.0,1,1,1,1,2,2,>74,White,Not Hispanic or Latino,Female,1
21726.0,22005000.0,360.0,4,1,1,2,20%-<30%,52.38,42005000.0,1,1,1,1,1,2,55-64,White,Not Hispanic or Latino,Male,1
110.0,465000.0,360.0,1,1,1,2,49,90.0,515000.0,1,1,1,1,2,2,25-34,Asian,Not Hispanic or Latino,Male,1
90.0,165000.0,12.0,32,1,1,2,30%-<36%,84.26,195000.0,1,1,1,1,1,1,35-44,White,Not Hispanic or Latino,Joint,1
66.0,125000.0,360.0,32,1,1,2,20%-<30%,36.0,355000.0,1,1,1,1,2,2,>74,Race Not Available,Ethnicity Not Available,Sex Not Available,1
320.0,445000.0,360.0,1,1,1,1,20%-<30%,80.0,555000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,1
309.0,415000.0,240.0,4,1,1,2,50%-60%,62.86,665000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Joint,1
243.0,695000.0,360.0,1,1,1,2,38,90.0,765000.0,1,1,1,1,2,2,25-34,Asian,Not Hispanic or Latino,Joint,1
72.0,205000.0,360.0,1,1,1,2,39,58.38,345000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Female,1
144.0,175000.0,300.0,1,1,1,2,20%-<30%,99.33,175000.0,1,2,1,2,2,2,25-34,White,Not Hispanic or Latino,Joint,1
,275000.0,360.0,32,2,1,2,,,345000.0,1,1,1,1,2,2,55-64,Black or African American,Not Hispanic or Latino,Female,0
180.0,225000.0,360.0,1,1,1,2,20%-<30%,80.0,285000.0,1,1,1,1,2,2,35-44,Race Not Available,Ethnicity Not Available,Male,1
75.0,115000.0,360.0,1,1,1,2,20%-<30%,91.667,125000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,1
290.0,865000.0,360.0,1,3,1,2,45,100.0,865000.0,1,1,1,1,2,2,45-54,Race Not Available,Ethnicity Not Available,Sex Not Available,1
164.0,215000.0,360.0,32,1,1,2,20%-<30%,49.553,425000.0,2,2,1,1,2,2,45-54,White,Not Hispanic or Latino,Joint,1
180.0,25000.0,84.0,4,1,2,2,30%-<36%,88.701,405000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,0
195.0,285000.0,360.0,1,1,1,2,30%-<36%,95.0,305000.0,1,1,1,2,2,2,45-54,White,Not Hispanic or Latino,Male,0
42.0,185000.0,360.0,31,2,1,2,50%-60%,68.571,355000.0,1,1,1,1,2,2,65-74,Black or African American,Not Hispanic or Latino,Female,0
52.0,125000.0,240.0,1,1,1,2,20%-<30%,95.0,135000.0,1,1,1,1,2,2,<25,Black or African American,Not Hispanic or Latino,Female,1
176.0,355000.0,360.0,1,2,1,2,48,96.5,365000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Joint,1
66.0,165000.0,360.0,1,1,1,2,20%-<30%,90.0,185000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,1
109.0,255000.0,360.0,1,1,1,2,37,49.933,505000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Male,1
64.0,195000.0,360.0,1,2,1,2,48,92.013,205000.0,1,1,1,1,2,2,25-34,White,Hispanic or Latino,Male,1
210.0,55000.0,180.0,32,1,2,2,38,45.714,465000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Male,1
150.0,275000.0,360.0,1,1,1,2,46,80.0,345000.0,2,1,1,2,2,2,45-54,Race Not Available,Hispanic or Latino,Joint,1
300.0,495000.0,360.0,1,1,1,1,37,80.0,615000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Male,1
122.0,395000.0,360.0,1,1,1,1,38,81.633,485000.0,1,1,1,1,2,2,65-74,White,Not Hispanic or Latino,Joint,1
89.0,265000.0,360.0,1,1,1,2,38,90.0,295000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Male,1
60.0,325000.0,360.0,1,1,1,2,49,90.0,365000.0,1,1,1,1,2,2,<25,Black or African American,Not Hispanic or Latino,Male,1
24.0,65000.0,180.0,31,1,1,2,41,42.073,165000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Female,1
770.0,1835000.0,360.0,1,1,1,2,39,63.54,2885000.0,1,1,1,1,1,2,55-64,White,Not Hispanic or Latino,Joint,0
85.0,325000.0,360.0,1,1,1,2,41,90.0,365000.0,1,1,1,1,2,2,25-34,Race Not Available,Hispanic or Latino,Female,1
140.0,15000.0,120.0,1,1,2,2,<20%,3.5,475000.0,1,1,1,1,2,1,25-34,Race Not Available,Ethnicity Not Available,Joint,1
71.0,155000.0,300.0,1,1,1,2,36,,155000.0,1,2,1,2,2,2,25-34,White,Ethnicity Not Available,Female,0
67.0,235000.0,360.0,1,2,1,2,42,94.99,245000.0,1,1,1,2,2,2,25-34,Asian,Not Hispanic or Latino,Joint,1
146.0,75000.0,180.0,1,1,1,2,20%-<30%,94.667,75000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,0
105.0,245000.0,360.0,1,1,1,2,20%-<30%,75.0,335000.0,1,1,1,2,2,2,45-54,Race Not Available,Hispanic or Latino,Male,1
334.0,265000.0,360.0,1,1,1,2,48,57.0,465000.0,3,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Joint,1
106.0,335000.0,360.0,1,3,1,2,38,100.0,335000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,1
59.0,75000.0,180.0,1,1,1,2,30%-<36%,85.914,85000.0,1,2,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,1
96.0,505000.0,360.0,31,1,1,2,>60%,50.0,1005000.0,1,1,1,1,2,2,55-64,Race Not Available,Ethnicity Not Available,Sex Not Available,0
75.0,135000.0,240.0,1,1,1,2,44,90.0,155000.0,1,1,1,1,2,2,45-54,Black or African American,Not Hispanic or Latino,Male,0
111.0,375000.0,360.0,1,2,1,2,48,98.188,385000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
149.0,575000.0,360.0,1,2,1,2,46,96.5,595000.0,1,1,1,1,2,2,35-44,Race Not Available,Ethnicity Not Available,Sex Not Available,1
145.0,705000.0,360.0,1,3,1,2,50%-60%,100.0,705000.0,1,1,1,1,2,2,55-64,White,Ethnicity Not Available,Male,1
91.0,265000.0,360.0,1,1,1,2,20%-<30%,97.0,275000.0,1,1,1,1,2,2,25-34,White,Hispanic or Latino,Male,1
95.0,355000.0,360.0,31,2,1,2,46,77.556,455000.0,1,1,1,2,2,2,25-34,White,Not Hispanic or Latino,Joint,1
105.0,105000.0,240.0,2,1,2,2,42,58.975,455000.0,1,1,1,1,2,2,45-54,Black or African American,Not Hispanic or Latino,Female,1
99.0,365000.0,360.0,1,2,1,2,50%-60%,96.5,375000.0,1,1,1,1,2,2,35-44,White,Hispanic or Latino,Female,1
73.0,455000.0,360.0,1,3,1,2,>60%,81.651,545000.0,1,1,1,1,2,2,>74,White,Not Hispanic or Latino,Joint,1
86.0,15000.0,120.0,4,1,2,2,30%-<36%,50.0,435000.0,1,1,1,1,2,2,55-64,Race Not Available,Ethnicity Not Available,Sex Not Available,1
61.0,185000.0,360.0,1,1,1,2,42,85.0,215000.0,1,1,1,1,2,2,<25,White,Not Hispanic or Latino,Male,1
224.0,835000.0,360.0,1,3,1,2,43,100.0,835000.0,1,1,1,2,2,2,35-44,White,Not Hispanic or Latino,Male,1
62.0,145000.0,360.0,1,1,1,2,20%-<30%,,175000.0,1,2,1,2,2,2,45-54,White,Not Hispanic or Latino,Male,1
134.0,315000.0,360.0,1,1,1,2,20%-<30%,90.0,345000.0,1,1,1,1,2,2,25-34,Asian,Not Hispanic or Latino,Female,1
88.0,425000.0,360.0,1,3,1,2,>60%,84.0,495000.0,1,1,1,1,2,2,65-74,Race Not Available,Ethnicity Not Available,Joint,0
39.0,195000.0,360.0,1,1,1,2,50%-60%,90.0,225000.0,1,1,1,1,2,2,35-44,Black or African American,Not Hispanic or Latino,Female,0
143.0,495000.0,360.0,32,3,1,2,49,90.0,555000.0,1,1,1,1,2,2,25-34,Black or African American,Not Hispanic or Latino,Male,1
1850.0,45000.0,,4,1,2,2,<20%,112.164,345000.0,1,1,1,1,2,2,65-74,White,Joint,Male,0
52.0,175000.0,360.0,32,1,1,2,41,74.69,245000.0,1,1,1,1,2,2,65-74,Joint,Not Hispanic or Latino,Joint,1
54.0,245000.0,360.0,1,1,1,2,44,90.0,275000.0,1,1,1,1,2,2,35-44,White,Hispanic or Latino,Female,1
119.0,95000.0,360.0,1,1,1,2,20%-<30%,65.0,155000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,1
120.0,375000.0,360.0,1,3,1,2,20%-<30%,,375000.0,1,1,1,1,2,2,45-54,Race Not Available,Not Hispanic or Latino,Male,1
207.0,305000.0,360.0,1,1,1,1,50%-60%,80.0,375000.0,1,1,1,1,2,2,65-74,White,Not Hispanic or Latino,Joint,1
176.0,435000.0,360.0,1,3,1,2,36,,425000.0,1,1,1,1,2,2,45-54,Black or African American,Not Hispanic or Latino,Female,1
83.0,15000.0,240.0,1,1,1,2,38,,25000.0,1,2,1,1,2,2,35-44,Black or African American,Not Hispanic or Latino,Female,1
210.0,65000.0,60.0,2,1,1,2,20%-<30%,11.6,515000.0,1,1,1,1,2,2,55-64,Asian,Not Hispanic or Latino,Joint,1
48.0,65000.0,240.0,4,1,1,2,40,14.988,415000.0,1,1,1,1,2,2,65-74,White,Not Hispanic or Latino,Joint,1
50.0,145000.0,360.0,1,2,1,2,49,42.361,345000.0,1,1,1,1,2,2,55-64,Race Not Available,Ethnicity Not Available,Male,1
53.0,365000.0,360.0,32,2,1,2,>60%,76.495,465000.0,1,1,1,1,2,2,65-74,White,Not Hispanic or Latino,Joint,0
47.0,125000.0,360.0,4,1,1,2,<20%,63.158,195000.0,3,2,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,0
252.0,375000.0,327.0,4,3,1,2,<20%,,,1,1,1,1,2,2,35-44,Black or African American,Hispanic or Latino,Male,0
158.0,65000.0,180.0,2,1,2,2,39,88.284,285000.0,1,1,1,1,2,2,55-64,Race Not Available,Hispanic or Latino,Joint,1
123.0,465000.0,360.0,1,3,1,2,50%-60%,100.0,465000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
56.0,195000.0,360.0,1,1,1,1,48,85.0,225000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,1
143.0,205000.0,360.0,1,1,1,2,30%-<36%,90.0,225000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
117.0,375000.0,360.0,1,2,1,2,47,92.5,405000.0,1,1,1,1,2,2,25-34,Black or African American,Not Hispanic or Latino,Female,1
154.0,225000.0,360.0,31,1,1,2,<20%,73.203,305000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Female,1
133.0,285000.0,360.0,1,1,1,2,30%-<36%,80.0,355000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,1
134.0,295000.0,360.0,1,3,1,2,20%-<30%,92.756,315000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
209.0,945000.0,360.0,1,1,1,2,42,80.0,1185000.0,1,1,2,2,2,2,25-34,White,Not Hispanic or Latino,Joint,1
105.0,145000.0,360.0,32,1,1,2,38,80.0,185000.0,1,1,1,1,2,2,25-34,Race Not Available,Hispanic or Latino,Male,0
60.0,225000.0,360.0,1,1,1,2,43,104.0,235000.0,1,1,1,1,2,2,25-34,Black or African American,Not Hispanic or Latino,Female,1
64.0,285000.0,360.0,1,1,1,2,36,80.0,365000.0,1,2,1,1,2,2,25-34,Race Not Available,Hispanic or Latino,Male,1
120.0,365000.0,360.0,1,1,1,1,44,95.0,385000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,1
87.0,295000.0,360.0,1,1,1,2,38,80.0,365000.0,1,1,1,2,2,2,35-44,White,Hispanic or Latino,Male,1
48.0,95000.0,240.0,1,1,1,2,20%-<30%,94.8,105000.0,1,2,1,2,2,2,25-34,White,Not Hispanic or Latino,Joint,0
3535.0,805000.0,360.0,1,1,1,2,<20%,57.143,1405000.0,1,1,1,2,2,2,45-54,White,Not Hispanic or Latino,Joint,1
176.0,455000.0,360.0,1,1,1,2,20%-<30%,85.0,535000.0,1,1,1,1,2,2,25-34,Race Not Available,Ethnicity Not Available,Sex Not Available,1
54.0,115000.0,300.0,1,1,1,2,>60%,,115000.0,1,2,1,1,2,2,35-44,White,Not Hispanic or Latino,Female,0
107.0,255000.0,240.0,1,1,1,2,30%-<36%,95.0,255000.0,1,2,1,1,2,2,25-34,Black or African American,Ethnicity Not Available,Joint,0
90.0,185000.0,360.0,32,2,1,2,36,52.79,345000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Male,1
86.0,175000.0,360.0,1,3,1,2,20%-<30%,143.22,125000.0,1,1,1,1,2,2,35-44,White,Hispanic or Latino,Male,0
71.0,365000.0,360.0,31,2,1,2,43,94.778,385000.0,1,1,1,2,2,2,25-34,Race Not Available,Hispanic or Latino,Male,1
87.0,15000.0,360.0,1,1,2,2,36,101.579,255000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,1
120.0,505000.0,360.0,1,2,1,2,43,99.594,495000.0,1,1,1,2,2,2,35-44,White,Not Hispanic or Latino,Joint,0
58.0,205000.0,360.0,1,1,1,2,45,27.972,715000.0,1,1,1,2,2,2,25-34,Asian,Not Hispanic or Latino,Male,1
136.0,365000.0,360.0,1,1,1,2,30%-<36%,95.0,385000.0,1,1,1,1,2,2,35-44,Asian,Not Hispanic or Latino,Male,1
95.0,85000.0,180.0,4,1,2,2,>60%,80.0,305000.0,1,1,1,1,2,2,35-44,White,Ethnicity Not Available,Male,0
76.0,105000.0,180.0,32,1,1,2,39,32.0,335000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Joint,1
63.0,175000.0,360.0,31,1,1,2,49,45.0,405000.0,3,1,1,1,2,2,55-64,Race Not Available,Ethnicity Not Available,Sex Not Available,1
42.0,75000.0,240.0,1,1,1,2,20%-<30%,98.68,75000.0,1,2,1,2,2,2,<25,White,Not Hispanic or Latino,Female,0
146.0,585000.0,360.0,1,2,1,2,50%-60%,96.5,605000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Joint,1
85.0,175000.0,360.0,1,1,1,2,43,95.0,185000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Female,1
58.0,175000.0,360.0,32,2,1,2,30%-<36%,44.304,395000.0,1,1,1,1,2,2,55-64,Asian,Not Hispanic or Latino,Female,1
72.0,375000.0,360.0,32,2,1,2,50%-60%,75.13,485000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Joint,1
25.0,75000.0,360.0,1,1,1,2,45,44.848,165000.0,1,1,1,1,2,2,35-44,Race Not Available,Ethnicity Not Available,Male,1
65.0,15000.0,108.0,1,1,2,2,44,102.5,185000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Female,1
128.0,535000.0,360.0,1,2,1,1,50%-60%,95.0,555000.0,1,1,1,2,2,2,45-54,White,Joint,Male,1
80.0,305000.0,360.0,1,2,1,2,50%-60%,96.5,315000.0,1,1,2,1,2,2,25-34,White,Hispanic or Latino,Female,1
109.0,435000.0,360.0,1,1,1,2,45,79.992,535000.0,1,1,1,1,2,2,>74,Asian,Not Hispanic or Latino,Male,1
126.0,245000.0,360.0,1,1,1,2,<20%,80.0,305000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Female,1
120.0,165000.0,360.0,1,1,1,2,40,,195000.0,1,2,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,1
118.0,225000.0,360.0,1,2,1,2,46,,225000.0,1,1,1,1,2,2,35-44,White,Joint,Female,1
59.0,215000.0,360.0,1,2,1,2,50%-60%,96.5,225000.0,1,1,1,1,2,2,35-44,Black or African American,Not Hispanic or Latino,Female,1
130.0,505000.0,360.0,1,1,1,2,49,97.0,525000.0,1,1,1,2,2,2,25-34,Joint,Joint,Joint,1
37.0,125000.0,360.0,1,1,1,2,44,105.0,125000.0,1,1,1,1,2,2,25-34,Race Not Available,Hispanic or Latino,Female,1
147.0,295000.0,360.0,1,1,1,2,30%-<36%,95.0,315000.0,1,1,1,1,2,2,25-34,Race Not Available,Ethnicity Not Available,Sex Not Available,0
126.0,235000.0,360.0,1,1,1,2,37,95.0,245000.0,1,1,1,1,2,2,35-44,White,Hispanic or Latino,Male,1
35.0,65000.0,360.0,1,1,1,2,48,80.0,85000.0,1,1,2,1,2,2,<25,White,Not Hispanic or Latino,Male,1
175.0,65000.0,180.0,4,1,2,2,30%-<36%,71.11,575000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Female,1
54.0,125000.0,360.0,32,1,1,2,45,57.692,205000.0,1,1,1,1,2,2,>74,White,Not Hispanic or Latino,Male,1
80.0,85000.0,,4,1,2,2,50%-60%,73.711,485000.0,1,1,1,1,2,2,35-44,Asian,Not Hispanic or Latino,Male,0
132.0,345000.0,372.0,1,1,1,2,20%-<30%,80.0,435000.0,1,1,1,1,1,2,25-34,White,Not Hispanic or Latino,Joint,1
175.0,295000.0,,4,1,2,2,39,174.742,295000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Male,0
475.0,825000.0,360.0,1,1,1,2,36,75.0,1105000.0,1,1,1,2,2,2,55-64,Race Not Available,Ethnicity Not Available,Sex Not Available,0
518.0,1405000.0,360.0,1,1,1,2,30%-<36%,80.0,1755000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
141.0,45000.0,180.0,4,1,2,2,<20%,96.37,155000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Joint,0
183.0,725000.0,360.0,1,1,1,2,50%-60%,84.535,855000.0,1,1,2,1,2,2,35-44,Asian,Not Hispanic or Latino,Male,1
45.0,145000.0,360.0,1,1,1,2,39,90.0,165000.0,2,1,1,1,2,2,45-54,White,Hispanic or Latino,Female,1
62.0,55000.0,360.0,32,1,1,2,,,,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Male,0
163.0,455000.0,12.0,1,1,2,2,50%-60%,56.901,1165000.0,3,1,2,1,1,1,65-74,White,Not Hispanic or Latino,Joint,1
64.0,25000.0,180.0,4,1,2,2,37,42.393,275000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Female,1
,75000.0,240.0,31,1,2,2,<20%,52.658,175000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Joint,1
54.0,95000.0,360.0,1,1,1,2,20%-<30%,90.0,105000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
71.0,65000.0,360.0,1,2,1,2,46,98.19,65000.0,1,1,1,1,2,2,35-44,White,Hispanic or Latino,Male,0
85.0,295000.0,360.0,1,1,1,2,45,80.0,365000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Joint,1
112.0,145000.0,366.0,1,1,1,2,30%-<36%,,255000.0,1,2,1,1,1,2,<25,White,Hispanic or Latino,Female,1
132.0,325000.0,360.0,1,1,1,2,44,70.0,465000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Male,1
250.0,485000.0,360.0,1,1,1,2,45,75.0,645000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,1
115.0,245000.0,360.0,1,1,1,2,44,95.0,255000.0,1,1,1,2,2,2,35-44,White,Not Hispanic or Latino,Joint,1
125.0,335000.0,360.0,1,1,1,2,36,95.0,355000.0,1,1,1,2,2,2,25-34,Race Not Available,Ethnicity Not Available,Male,1
41.0,105000.0,360.0,1,1,1,2,20%-<30%,80.0,135000.0,1,2,1,2,2,2,55-64,White,Not Hispanic or Latino,Male,1
109.0,595000.0,360.0,1,2,1,2,50%-60%,96.5,605000.0,1,1,1,2,2,2,35-44,Joint,Not Hispanic or Latino,Joint,1
55.0,125000.0,360.0,32,1,1,2,38,64.0,185000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
96.0,85000.0,240.0,32,1,2,2,50%-60%,79.762,285000.0,1,1,1,1,2,2,55-64,Race Not Available,Hispanic or Latino,Male,1
101.0,25000.0,240.0,4,1,2,2,39,77.602,495000.0,2,1,1,1,2,2,65-74,White,Not Hispanic or Latino,Male,1
80.0,195000.0,360.0,31,3,1,2,36,,,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,0
44.0,55000.0,240.0,2,1,2,2,44,38.881,355000.0,1,1,2,1,2,2,>74,Black or African American,Not Hispanic or Latino,Male,1
111.0,205000.0,360.0,4,1,1,2,49,24.0,845000.0,1,1,1,2,2,2,65-74,Race Not Available,Ethnicity Not Available,Sex Not Available,1
70.0,225000.0,360.0,1,1,1,2,36,44.009,495000.0,1,1,1,1,2,2,45-54,White,Ethnicity Not Available,Joint,1
127.0,275000.0,360.0,1,1,1,1,49,80.0,345000.0,1,1,1,1,2,2,>74,White,Not Hispanic or Latino,Joint,1
56.0,255000.0,360.0,1,1,1,2,46,75.0,345000.0,1,1,1,1,2,2,45-54,Asian,Not Hispanic or Latino,Female,0
35.0,75000.0,360.0,1,4,1,2,38,99.73,75000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,1
32.0,35000.0,120.0,4,1,1,2,39,4.8,625000.0,1,1,1,1,2,2,55-64,White,Hispanic or Latino,Female,1
91.0,105000.0,196.0,1,2,1,2,20%-<30%,,,1,1,1,1,2,2,45-54,Race Not Available,Not Hispanic or Latino,Male,1
535.0,1125000.0,360.0,1,1,1,2,36,80.0,1405000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
64.0,55000.0,180.0,32,1,2,2,47,52.686,235000.0,1,1,1,1,2,2,55-64,Race Not Available,Ethnicity Not Available,Sex Not Available,1
132.0,485000.0,360.0,1,3,1,2,50%-60%,98.433,495000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Male,1
67.0,125000.0,266.0,1,1,1,2,30%-<36%,,125000.0,1,2,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,1
41.0,145000.0,360.0,1,1,1,2,47,90.0,165000.0,1,1,1,2,2,2,25-34,White,Not Hispanic or Latino,Female,1
219.0,495000.0,360.0,1,1,1,2,>60%,95.0,525000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Female,0
0.0,25000.0,360.0,4,1,2,2,<20%,69.881,275000.0,1,1,1,2,2,2,55-64,White,Not Hispanic or Latino,Male,0
105.0,325000.0,360.0,1,1,1,1,41,95.0,345000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
35.0,125000.0,30.0,1,2,1,2,30%-<36%,96.5,135000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Female,1
88.0,15000.0,360.0,1,1,2,2,49,100.308,405000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
310.0,65000.0,360.0,4,1,2,2,50%-60%,62.111,605000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Joint,0
74.0,65000.0,180.0,4,1,2,2,30%-<36%,73.754,295000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Male,1
55.0,355000.0,360.0,1,3,1,2,50%-60%,87.25,405000.0,1,1,1,2,2,2,45-54,Race Not Available,Ethnicity Not Available,Sex Not Available,1
41.0,235000.0,360.0,31,1,1,2,>60%,57.5,405000.0,1,1,1,1,2,2,<25,Race Not Available,Ethnicity Not Available,Joint,0
226.0,545000.0,360.0,1,2,1,2,39,85.0,635000.0,1,1,1,2,2,2,25-34,White,Not Hispanic or Latino,Joint,1
56.0,255000.0,360.0,1,1,1,2,43,97.0,265000.0,1,1,1,2,2,2,<25,White,Not Hispanic or Latino,Joint,1
