income,loan_amount,loan_term,loan_purpose,loan_type,lien_status,preapproval,debt_to_income_ratio,combined_loan_to_value_ratio,property_value,occupancy_type,construction_method,total_units,submission_of_application,interest_only_payment,balloon_payment,applicant_age,derived_race,derived_ethnicity,derived_sex,LoanApproved
37.0,85000.0,240.0,1,1,1,2,20%-<30%,95.161,85000.0,1,2,1,1,2,2,35-44,Black or African American,Not Hispanic or Latino,Female,0
97.0,385000.0,360.0,1,2,1,2,50%-60%,99.064,395000.0,1,1,1,1,2,2,35-44,Joint,Not Hispanic or Latino,Joint,1
139.0,365000.0,360.0,1,3,1,2,41,100.0,365000.0,1,2,1,1,2,2,55-64,White,Not Hispanic or Latino,Joint,1
56.0,115000.0,360.0,1,1,1,2,30%-<36%,95.0,125000.0,1,1,1,1,2,2,55-64,Race Not Available,Ethnicity Not Available,Joint,1
83.0,55000.0,300.0,1,1,1,2,30%-<36%,,55000.0,1,2,1,1,2,2,45-54,White,Not Hispanic or Latino,Male,1
88.0,55000.0,180.0,2,1,2,2,50%-60%,80.372,355000.0,1,1,1,1,2,2,25-34,Asian,Not Hispanic or Latino,Male,1
140.0,925000.0,360.0,1,3,1,2,50%-60%,100.0,905000.0,1,1,1,1,2,2,35-44,Asian,Not Hispanic or Latino,Male,1
96.0,205000.0,360.0,1,1,1,2,20%-<30%,50.88,395000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Joint,1
265.0,705000.0,360.0,31,1,1,2,30%-<36%,80.0,875000.0,1,1,1,2,2,2,35-44,White,Not Hispanic or Latino,Joint,1
385.0,865000.0,360.0,1,1,1,2,30%-<36%,89.974,1065000.0,1,1,1,1,2,2,65-74,White,Not Hispanic or Latino,Joint,1
97.0,95000.0,180.0,1,1,1,1,37,95.0,135000.0,1,2,1,1,2,2,35-44,White,Not Hispanic or Latino,Male,1
,265000.0,360.0,32,3,1,2,,,455000.0,1,1,1,1,2,2,>74,Black or African American,Not Hispanic or Latino,Joint,0
84.0,125000.0,240.0,4,1,2,2,>60%,89.676,555000.0,1,1,1,1,2,2,35-44,White,Ethnicity Not Available,Male,0
15.0,25000.0,,31,1,2,2,,100.0,,1,1,1,1,2,2,,Race Not Available,Ethnicity Not Available,Sex Not Available,1
393.0,205000.0,360.0,1,1,1,2,<20%,35.71,565000.0,1,1,1,2,2,2,45-54,White,Not Hispanic or Latino,Joint,1
177.0,255000.0,360.0,32,2,1,2,30%-<36%,80.0,315000.0,1,1,1,1,2,2,25-34,White,Hispanic or Latino,Female,1
152.0,365000.0,360.0,1,2,1,2,30%-<36%,98.188,375000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
74.0,135000.0,360.0,32,1,1,2,20%-<30%,45.614,285000.0,1,1,1,1,2,2,>74,White,Not Hispanic or Latino,Joint,1
85.0,335000.0,360.0,1,2,1,2,50%-60%,96.5,345000.0,1,1,1,1,2,2,55-64,Asian,Not Hispanic or Latino,Female,1
32.0,65000.0,180.0,32,1,1,2,41,16.25,405000.0,1,1,1,1,2,2,55-64,Race Not Available,Hispanic or Latino,Joint,1
115.0,645000.0,360.0,1,1,1,2,48,86.577,745000.0,1,1,1,2,2,2,<25,Joint,Not Hispanic or Latino,Joint,1
315.0,585000.0,360.0,1,1,1,2,20%-<30%,90.0,655000.0,1,1,1,2,2,2,25-34,Race Not Available,Ethnicity Not Available,Joint,1
159.0,535000.0,360.0,1,3,1,2,36,71.67,745000.0,1,1,1,1,1,2,55-64,Black or African American,Hispanic or Latino,Male,1
42.0,215000.0,360.0,1,1,1,2,49,51.22,415000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Female,1
27.0,55000.0,180.0,1,1,1,2,44,21.74,235000.0,1,1,1,1,2,2,45-54,White,Hispanic or Latino,Female,1
105.0,135000.0,300.0,1,1,1,2,20%-<30%,95.0,145000.0,1,1,1,1,2,2,<25,White,Not Hispanic or Latino,Joint,1
108.0,295000.0,360.0,1,1,1,2,30%-<36%,100.0,295000.0,1,1,1,1,2,2,35-44,White,Joint,Joint,1
156.0,495000.0,360.0,1,1,1,2,42,80.0,615000.0,1,1,1,2,2,2,<25,White,Hispanic or Latino,Male,1
161.0,475000.0,360.0,1,1,1,2,36,95.0,505000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Joint,1
338.0,275000.0,360.0,1,1,1,2,30%-<36%,90.0,305000.0,1,1,1,2,2,2,25-34,White,Not Hispanic or Latino,Joint,1
85.0,315000.0,360.0,32,3,1,2,>60%,90.0,355000.0,1,1,1,1,2,2,35-44,Race Not Available,Not Hispanic or Latino,Male,1
89.0,135000.0,360.0,1,1,1,2,42,95.0,145000.0,1,1,1,2,2,2,45-54,Asian,Not Hispanic or Latino,Female,1
38.0,365000.0,360.0,4,2,1,2,>60%,44.625,805000.0,1,2,1,1,2,2,35-44,White,Hispanic or Latino,Male,0
137.0,195000.0,360.0,1,1,1,2,50%-60%,59.375,325000.0,3,1,1,1,2,2,55-64,Asian,Not Hispanic or Latino,Male,1
122.0,85000.0,180.0,31,1,1,2,<20%,31.298,265000.0,1,1,1,1,2,2,55-64,White,Hispanic or Latino,Female,0
53.0,125000.0,360.0,32,2,1,2,30%-<36%,80.0,155000.0,1,1,1,1,2,2,55-64,Black or African American,Not Hispanic or Latino,Female,1
220.0,695000.0,360.0,32,2,1,2,50%-60%,80.0,815000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Male,0
216.0,45000.0,240.0,32,1,2,2,30%-<36%,85.0,685000.0,1,1,1,1,2,2,45-54,Race Not Available,Not Hispanic or Latino,Sex Not Available,1
285.0,385000.0,360.0,1,1,1,2,30%-<36%,48.72,785000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Joint,1
99.0,125000.0,360.0,1,1,1,2,20%-<30%,42.662,295000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Male,1
533.0,1805000.0,360.0,1,1,1,2,47,100.0,1805000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Male,1
158.0,435000.0,360.0,1,1,1,2,30%-<36%,84.375,515000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Joint,1
150.0,65000.0,240.0,32,1,2,2,<20%,49.69,545000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Male,1
68.0,35000.0,360.0,31,1,1,2,<20%,32.52,105000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Male,1
187.0,335000.0,360.0,1,2,1,2,20%-<30%,90.0,365000.0,1,1,1,1,2,2,35-44,Joint,Not Hispanic or Latino,Joint,1
162.0,205000.0,60.0,1,1,1,2,43,80.0,255000.0,1,1,1,1,2,1,45-54,White,Not Hispanic or Latino,Joint,1
152.0,395000.0,360.0,1,1,1,2,30%-<36%,95.0,415000.0,1,1,1,1,2,2,<25,White,Not Hispanic or Latino,Joint,1
159.0,555000.0,360.0,1,1,1,2,38,95.0,585000.0,1,1,1,2,2,2,>74,White,Not Hispanic or Latino,Female,1
129.0,285000.0,360.0,1,1,1,2,47,95.0,305000.0,1,1,1,1,2,2,25-34,Asian,Not Hispanic or Latino,Male,1
146.0,715000.0,360.0,1,1,1,2,47,95.0,755000.0,1,1,1,2,2,2,25-34,White,Not Hispanic or Latino,Joint,1
174.0,475000.0,360.0,1,1,1,2,50%-60%,100.0,525000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,1
55.0,85000.0,360.0,1,1,1,2,49,80.0,105000.0,1,1,1,2,2,2,25-34,White,Not Hispanic or Latino,Female,1
